time,open,high,low,close,vol,date
1600732800000,3.618,4.317,3.571,4.282,1109046.296,2020-09-22
1600819200000,4.282,4.42,3.67,3.7,1121904.946,2020-09-23
1600905600000,3.702,4.48,3.671,4.407,1405462.013,2020-09-24
1600992000000,4.403,5.2,4.294,4.915,1892859.154,2020-09-25
1601078400000,4.906,5.357,4.777,5.221,836235.162,2020-09-26
1601164800000,5.22,5.49,4.59,5.157,1647357.63,2020-09-27
1601251200000,5.157,5.495,4.807,4.94,1286025.439,2020-09-28
1601337600000,4.934,5.052,4.7,4.968,673416.595,2020-09-29
1601424000000,4.973,4.99,4.401,4.738,957436.147,2020-09-30
1601510400000,4.734,4.994,4.367,4.692,768270.933,2020-10-01
1601596800000,4.693,4.693,3.973,4.413,911075.675,2020-10-02
1601683200000,4.413,4.589,4.367,4.38,282412.485,2020-10-03
1601769600000,4.376,4.554,4.266,4.383,411909.457,2020-10-04
1601856000000,4.381,4.508,4.132,4.186,266656.85,2020-10-05
1601942400000,4.19,4.205,3.579,3.635,1002414.271,2020-10-06
1602028800000,3.627,3.955,3.485,3.941,834932.393,2020-10-07
1602115200000,3.936,4.066,3.634,3.957,982727.409,2020-10-08
1602201600000,3.954,4.389,3.758,4.294,1113337.837,2020-10-09
1602288000000,4.293,4.5,4.178,4.296,619966.882,2020-10-10
1602374400000,4.296,4.313,4.035,4.172,505700.643,2020-10-11
1602460800000,4.172,4.799,4.081,4.637,865419.461,2020-10-12
1602547200000,4.64,4.73,4.344,4.506,522618.079,2020-10-13
1602633600000,4.513,4.599,4.235,4.273,450562.777,2020-10-14
1602720000000,4.269,4.285,3.871,3.912,753749.505,2020-10-15
1602806400000,3.907,4.145,3.72,3.913,627588.602,2020-10-16
1602892800000,3.914,4.034,3.828,3.96,162450.797,2020-10-17
1602979200000,3.958,4.029,3.889,3.957,220924.702,2020-10-18
1603065600000,3.964,3.97,3.692,3.725,364282.437,2020-10-19
1603152000000,3.719,3.729,3.343,3.702,824491.583,2020-10-20
1603238400000,3.708,3.796,3.476,3.517,855196.485,2020-10-21
1603324800000,3.517,4.092,3.51,3.894,884670.621,2020-10-22
1603411200000,3.901,3.94,3.664,3.802,471731.065,2020-10-23
